State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total minutes,Total calls,Total charge,Bin_Total day minutes,Bin_Total day calls,Bin_Total day charge,Bin_Total eve minutes,Bin_Total eve calls,Bin_Total eve charge,Bin_Total night minutes,Bin_Total night calls,Bin_Total night charge,Bin_Total intl minutes,Bin_Total intl charge,Bin_Total minutes,Bin_Total calls,Bin_Total charge,Bin_Account length
KS,128,415,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,717.2,303,75.56,8,7,8,6,6,6,6,5,6,5,5,8,5,8,6
OH,107,415,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,625.2,332,59.24000000000001,5,8,5,6,7,6,7,5,7,7,7,6,7,5,5
NJ,137,415,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,539.4000000000001,333,62.290000000000006,7,7,7,4,7,4,4,5,4,7,7,5,7,6,6
OH,84,408,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,564.8,255,66.8,9,5,9,2,6,2,5,4,5,4,4,5,3,6,4
OK,75,415,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,512.0,359,52.089999999999996,5,7,5,5,8,5,5,7,5,6,6,4,8,4,4
AL,118,510,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,654.1999999999999,323,67.61,7,6,7,7,6,7,5,6,5,4,4,7,6,7,5
MA,121,510,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,786.8000000000001,321,78.31,7,6,7,10,7,10,6,6,6,4,4,9,6,8,5
MO,147,415,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,479.00000000000006,275,46.900000000000006,5,5,5,3,6,3,6,5,6,4,4,4,4,4,7
WV,141,415,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,818.2,297,80.53999999999999,8,6,8,7,7,7,9,5,9,6,6,9,5,8,6
RI,74,415,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,556.2,374,57.08,6,8,6,5,9,5,5,5,5,5,5,5,9,5,4
IA,168,408,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,386.0,297,40.190000000000005,4,6,4,3,5,3,4,7,4,6,6,2,5,3,7
MT,95,510,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,608.8,283,59.64,5,6,5,7,5,7,5,6,5,7,7,6,5,6,4
IA,62,415,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,644.0,251,59.309999999999995,4,5,4,9,5,9,5,5,5,7,7,6,3,5,3
ID,85,408,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,580.3999999999999,308,65.02,6,9,6,8,6,8,2,3,2,7,7,5,6,6,4
VT,93,510,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,546.6,349,58.989999999999995,6,7,6,6,7,7,3,7,3,5,5,5,8,5,4
VA,76,510,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,578.2,244,60.50000000000001,6,4,6,6,4,6,4,6,4,5,5,5,3,6,4
TX,73,415,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,589.7,254,63.9,7,6,7,5,6,5,5,3,5,7,7,6,3,6,3
FL,147,415,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,614.1999999999999,347,59.0,5,8,5,7,6,7,5,8,5,6,6,6,7,5,7
CO,77,408,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,447.59999999999997,280,36.019999999999996,2,6,2,5,8,5,6,3,6,3,3,3,4,2,4
AZ,130,415,0,0,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,447.20000000000005,308,48.06,6,7,6,3,6,3,5,4,5,5,5,3,6,4,6
VA,132,510,0,0,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,573.5999999999999,275,48.08,3,6,3,7,5,7,6,6,6,6,6,5,4,4,6
NE,174,415,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,667.6,308,60.15,4,5,4,8,7,8,7,6,7,8,8,7,6,6,8
WY,57,408,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,596.3,345,63.24,7,7,7,6,7,6,5,6,5,5,5,6,7,6,3
MT,54,408,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,406.59999999999997,245,44.61,4,5,4,5,6,5,3,3,3,8,8,3,3,3,3
MO,20,415,0,0,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,636.0,301,64.12,6,7,6,8,5,8,5,5,5,4,4,6,5,6,1
IL,142,415,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,486.2,312,41.14,3,6,3,4,4,4,7,9,7,8,8,4,6,3,6
NH,75,510,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,684.0999999999999,315,69.42999999999999,7,7,7,6,7,6,6,5,7,6,6,7,6,7,4
LA,172,408,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,549.1,324,55.29,7,8,7,1,7,1,8,4,8,7,7,5,6,5,8
AZ,12,408,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,794.0,330,79.67999999999999,8,8,8,7,7,7,7,5,7,6,6,9,7,8,1
OK,57,408,0,1,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,593.5999999999999,289,58.49,6,6,6,6,5,6,6,6,6,5,5,6,5,5,3
GA,72,415,0,1,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,604.8000000000001,259,66.72,7,5,7,6,6,6,4,3,4,8,8,6,4,6,3
MA,78,415,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,592.3,293,54.2,4,4,4,7,7,7,6,6,6,5,5,6,5,5,4
AK,136,415,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,503.7,318,58.03,6,7,6,6,6,6,3,6,3,6,6,4,6,5,6
NJ,149,408,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,611.6,303,58.44,5,6,5,8,6,8,5,6,5,6,6,6,5,5,7
GA,98,408,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,490.3,324,46.63999999999999,4,7,4,5,5,5,5,8,5,5,5,4,6,4,5
MD,135,408,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,513.8,285,56.199999999999996,5,6,5,6,7,6,3,4,3,8,8,4,5,5,6
AR,34,510,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,728.5,262,61.92999999999999,4,5,4,8,6,8,8,4,8,5,5,8,4,6,2
