State,Area code,International plan,Voice mail plan,Number vmail messages,Total intl calls,Customer service calls,Churn,Bin_Total day minutes,Bin_Total day calls,Bin_Total day charge,Bin_Total eve minutes,Bin_Total eve calls,Bin_Total eve charge,Bin_Total night minutes,Bin_Total night calls,Bin_Total night charge,Bin_Total intl minutes,Bin_Total intl charge,Bin_Total minutes,Bin_Total calls,Bin_Total charge,Bin_Account length
KS,415,0,1,25,3,1,0,8,7,8,6,6,6,6,5,6,5,5,8,5,8,6
OH,415,0,1,26,3,1,0,5,8,5,6,7,6,7,5,7,7,7,6,7,5,5
NJ,415,0,0,0,5,0,0,7,7,7,4,7,4,4,5,4,7,7,5,7,6,6
OH,408,1,0,0,7,2,0,9,5,9,2,6,2,5,4,5,4,4,5,3,6,4
OK,415,1,0,0,3,3,0,5,7,5,5,8,5,5,7,5,6,6,4,8,4,4
AL,510,1,0,0,6,0,0,7,6,7,7,6,7,5,6,5,4,4,7,6,7,5
MA,510,0,1,24,7,3,0,7,6,7,10,7,10,6,6,6,4,4,9,6,8,5
MO,415,1,0,0,6,0,0,5,5,5,3,6,3,6,5,6,4,4,4,4,4,7
WV,415,1,1,37,5,0,0,8,6,8,7,7,7,9,5,9,6,6,9,5,8,6
RI,415,0,0,0,5,0,0,6,8,6,5,9,5,5,5,5,5,5,5,9,5,4
IA,408,0,0,0,2,1,0,4,6,4,3,5,3,4,7,4,6,6,2,5,3,7
MT,510,0,0,0,5,3,0,5,6,5,7,5,7,5,6,5,7,7,6,5,6,4
IA,415,0,0,0,6,4,0,4,5,4,9,5,9,5,5,5,7,7,6,3,5,3
ID,408,0,1,27,4,1,0,6,9,6,8,6,8,2,3,2,7,7,5,6,6,4
VT,510,0,0,0,3,3,0,6,7,6,6,7,7,3,7,3,5,5,5,8,5,4
VA,510,0,1,33,5,1,0,6,4,6,6,4,6,4,6,4,5,5,5,3,6,4
TX,415,0,0,0,2,1,0,7,6,7,5,6,5,5,3,5,7,7,6,3,6,3
