,account_id,district_id,frequency,date
0,1,18,POPLATEK MESICNE,1995-03-24
1,2,1,POPLATEK MESICNE,1993-02-26
2,3,5,POPLATEK MESICNE,1997-07-07
3,4,12,POPLATEK MESICNE,1996-02-21
4,5,15,POPLATEK MESICNE,1997-05-30
5,6,51,POPLATEK MESICNE,1994-09-27
6,7,60,POPLATEK MESICNE,1996-11-24
7,8,57,POPLATEK MESICNE,1995-09-21
8,9,70,POPLATEK MESICNE,1993-01-27
9,10,54,POPLATEK MESICNE,1996-08-28
10,11,76,POPLATEK MESICNE,1995-10-10
11,12,21,POPLATEK MESICNE,1997-04-15
12,13,76,POPLATEK MESICNE,1997-08-17
13,14,47,POPLATEK MESICNE,1996-11-27
14,15,70,POPLATEK MESICNE,1993-10-02
15,16,12,POPLATEK MESICNE,1997-09-23
16,17,1,POPLATEK MESICNE,1997-01-08
17,18,43,POPLATEK TYDNE,1993-05-26
18,19,21,POPLATEK MESICNE,1995-04-07
19,20,74,POPLATEK MESICNE,1996-08-24
20,21,54,POPLATEK MESICNE,1997-12-06
21,22,1,POPLATEK MESICNE,1994-03-23
22,23,30,POPLATEK MESICNE,1993-05-22
23,24,74,POPLATEK MESICNE,1996-12-05
24,25,68,POPLATEK MESICNE,1996-07-28
25,26,52,POPLATEK MESICNE,1993-08-08
26,27,73,POPLATEK MESICNE,1993-09-26
27,29,7,POPLATEK MESICNE,1994-11-24
28,30,36,POPLATEK MESICNE,1995-03-04
29,31,68,POPLATEK MESICNE,1994-04-27
30,32,5,POPLATEK MESICNE,1995-08-28
31,33,22,POPLATEK MESICNE,1993-08-26
32,34,67,POPLATEK TYDNE,1993-09-17
33,35,75,POPLATEK MESICNE,1993-07-07
34,36,1,POPLATEK MESICNE,1993-07-01
35,37,20,POPLATEK MESICNE,1997-08-18
36,38,19,POPLATEK TYDNE,1997-08-08
37,39,36,POPLATEK MESICNE,1993-09-22
38,40,64,POPLATEK MESICNE,1993-10-25
39,41,72,POPLATEK MESICNE,1997-08-02
40,42,39,POPLATEK MESICNE,1996-08-16
