,card_id,disp_id,type,issued
0,1,9,gold,1998-10-16
1,2,19,classic,1998-03-13
2,3,41,gold,1995-09-03
3,4,42,classic,1998-11-26
4,5,51,junior,1995-04-24
5,7,56,classic,1998-06-11
6,8,60,junior,1998-05-20
7,9,76,classic,1997-10-25
8,10,77,classic,1996-12-07
9,11,79,gold,1997-10-25
10,12,83,junior,1996-09-11
11,13,87,classic,1994-06-29
12,14,112,classic,1996-02-17
13,15,114,classic,1995-03-05
14,16,116,classic,1998-06-23
15,17,127,classic,1998-06-07
16,18,128,classic,1995-08-25
17,19,130,classic,1997-09-09
18,20,131,classic,1998-12-02
19,21,132,classic,1998-02-26
20,22,138,classic,1997-01-11
21,23,146,classic,1998-10-03
22,24,153,junior,1996-08-05
23,25,158,classic,1997-12-06
24,26,161,classic,1998-09-14
25,27,167,junior,1998-11-15
26,28,174,junior,1998-01-22
27,29,192,classic,1998-08-20
28,30,202,classic,1997-10-01
29,31,208,classic,1998-10-21
30,32,219,classic,1998-08-06
31,33,221,junior,1997-12-03
32,34,225,classic,1998-03-20
33,35,231,classic,1998-10-07
34,36,236,classic,1998-09-28
35,37,238,classic,1996-04-20
36,38,242,classic,1996-08-31
37,39,254,classic,1998-07-14
38,40,255,classic,1996-10-13
39,41,256,classic,1997-08-31
40,42,264,junior,1998-07-28
41,43,267,classic,1997-08-29
42,44,268,junior,1996-05-17
43,45,272,classic,1997-12-05
44,46,273,classic,1998-11-10
45,47,280,classic,1998-08-13
46,48,295,classic,1998-03-10
47,49,305,classic,1997-10-03
48,50,309,classic,1997-05-28
49,51,321,classic,1997-11-21
50,52,326,gold,1998-04-10
51,53,333,classic,1998-10-13
52,54,334,classic,1997-01-24
53,55,335,classic,1998-01-25
54,56,339,classic,1998-11-22
55,57,347,classic,1996-11-09
56,58,358,classic,1998-03-11
57,59,365,classic,1997-10-27
58,60,370,classic,1998-10-18
59,61,374,classic,1998-10-18
60,63,378,junior,1998-03-27
61,64,402,classic,1998-05-10
62,65,414,classic,1998-02-02
63,66,425,classic,1998-07-08
64,67,429,junior,1998-01-28
65,68,434,classic,1998-01-31
66,69,438,classic,1997-05-17
67,70,439,classic,1994-02-08
68,71,441,classic,1998-04-11
69,72,447,classic,1998-03-09
70,73,451,junior,1998-07-21
71,74,453,classic,1998-10-18
72,75,457,classic,1997-07-29
73,76,464,classic,1998-12-23
74,77,466,classic,1998-08-13
75,78,468,classic,1998-08-04
76,79,469,classic,1998-09-02
77,80,471,classic,1998-06-25
78,81,473,classic,1997-12-17
79,82,474,classic,1997-05-07
80,83,483,classic,1998-01-05
81,84,487,classic,1996-06-26
82,85,489,classic,1995-12-31
83,86,490,classic,1997-11-28
84,87,493,classic,1996-11-02
85,88,496,classic,1996-11-04
86,89,497,classic,1998-04-22
87,90,503,classic,1997-06-04
88,91,504,junior,1997-09-01
89,92,508,classic,1995-11-20
90,93,510,classic,1997-11-09
91,94,513,classic,1997-11-06
92,95,519,junior,1998-08-01
93,96,528,classic,1998-08-26
94,97,531,junior,1995-09-19
95,98,537,classic,1995-09-06
96,99,548,gold,1996-10-09
97,100,562,gold,1998-02-21
98,101,566,classic,1998-06-19
99,102,575,classic,1998-11-12
100,103,584,junior,1996-08-17
101,104,588,classic,1994-01-19
102,105,590,classic,1997-01-17
103,106,592,classic,1996-01-14
104,107,593,classic,1995-06-27
105,108,597,classic,1997-06-25
106,109,605,classic,1998-04-26
107,110,608,classic,1997-05-31
108,111,615,classic,1998-06-05
109,112,626,junior,1997-01-19
110,113,629,junior,1995-11-16
111,115,638,classic,1997-07-30
112,116,646,classic,1998-10-11
113,117,649,junior,1996-11-23
114,118,652,classic,1995-10-22
115,119,655,classic,1996-08-08
116,120,662,classic,1997-07-03
117,121,666,junior,1996-07-22
118,122,667,junior,1997-07-03
119,123,679,classic,1998-06-12
120,124,688,classic,1997-10-10
121,125,694,gold,1998-12-26
122,126,707,classic,1998-05-23
123,127,714,classic,1996-05-23
124,128,716,classic,1998-08-19
125,129,719,classic,1998-11-05
126,130,722,classic,1997-12-29
127,131,725,classic,1998-12-08
128,132,731,junior,1998-02-26
129,133,742,classic,1997-06-16
130,134,769,classic,1998-09-07
131,136,778,classic,1995-07-28
132,137,786,junior,1997-01-10
133,138,791,classic,1998-11-02
134,139,797,classic,1997-07-14
135,140,798,classic,1997-08-22
136,141,808,classic,1998-09-15
137,142,810,classic,1998-07-01
138,143,816,classic,1998-06-15
139,145,819,classic,1997-06-17
140,146,822,classic,1998-07-23
141,147,826,junior,1998-12-13
142,148,834,classic,1998-11-22
143,149,858,classic,1998-01-07
144,150,859,classic,1996-03-30
145,151,861,classic,1998-09-16
146,152,876,classic,1996-09-16
147,153,886,gold,1997-10-19
148,154,887,classic,1997-12-28
149,155,900,junior,1997-05-17
150,156,906,junior,1998-04-07
151,157,907,classic,1996-04-24
152,158,928,gold,1998-10-25
153,159,946,classic,1995-05-01
154,160,954,classic,1998-06-17
155,161,963,classic,1998-05-25
156,162,967,junior,1996-12-23
157,163,984,classic,1996-09-18
158,164,992,classic,1998-11-29
159,165,996,junior,1998-02-04
160,166,999,classic,1995-03-05
161,167,1011,classic,1995-09-15
162,168,1018,classic,1995-01-24
163,169,1019,classic,1998-08-10
164,170,1020,classic,1998-04-16
165,171,1027,classic,1997-03-05
166,172,1030,classic,1998-12-14
167,173,1031,classic,1998-06-21
168,174,1039,junior,1994-12-04
169,175,1040,classic,1997-01-03
170,176,1049,classic,1998-04-25
171,177,1056,classic,1998-11-19
172,178,1057,classic,1998-11-21
173,179,1059,classic,1998-08-10
174,180,1062,classic,1998-09-29
175,181,1066,classic,1994-08-19
176,182,1067,gold,1997-08-31
177,183,1080,classic,1996-05-08
178,184,1089,gold,1997-06-03
179,185,1098,classic,1997-09-07
180,186,1133,gold,1998-05-12
181,187,1140,classic,1997-09-07
182,188,1146,classic,1994-06-19
183,189,1157,classic,1997-02-19
184,190,1165,classic,1997-09-23
185,191,1168,junior,1998-04-02
186,192,1169,classic,1998-06-08
187,193,1179,gold,1998-09-21
188,194,1182,classic,1997-01-13
189,195,1194,classic,1997-02-03
190,196,1197,classic,1998-12-22
191,197,1202,junior,1996-10-21
192,198,1211,junior,1998-03-18
193,199,1213,classic,1997-02-07
194,200,1220,gold,1997-12-09
195,201,1223,classic,1998-12-08
196,202,1228,classic,1996-02-04
197,203,1231,classic,1998-09-16
198,204,1239,junior,1996-05-30
199,205,1242,classic,1998-11-16
200,206,1243,classic,1997-09-22
201,207,1244,classic,1998-05-25
202,208,1246,gold,1995-02-08
203,209,1251,classic,1998-07-31
204,210,1253,classic,1997-02-16
205,211,1271,classic,1997-06-10
206,212,1280,classic,1998-05-24
207,213,1289,gold,1997-06-11
208,214,1292,classic,1998-01-24
209,215,1296,classic,1998-03-02
210,216,1310,junior,1996-04-24
211,217,1316,classic,1998-11-09
212,218,1322,classic,1998-05-18
213,219,1329,classic,1998-12-04
214,220,1333,classic,1996-10-13
215,221,1339,classic,1998-08-10
216,222,1345,classic,1997-06-19
217,223,1353,classic,1995-04-18
218,225,1359,classic,1998-03-03
219,226,1378,classic,1997-04-18
220,227,1380,classic,1996-08-10
221,228,1382,junior,1998-03-15
222,229,1384,classic,1996-04-05
223,230,1388,gold,1998-10-25
224,231,1390,junior,1998-09-29
225,232,1396,classic,1997-05-01
226,233,1418,classic,1998-07-07
227,234,1424,classic,1997-09-29
228,235,1438,classic,1998-05-02
229,236,1440,junior,1998-01-29
230,237,1445,classic,1997-11-25
231,238,1452,gold,1997-08-17
232,239,1453,gold,1998-08-24
233,240,1459,classic,1998-12-23
234,241,1461,classic,1997-06-20
235,242,1473,classic,1998-09-24
236,243,1478,classic,1996-12-13
237,244,1480,classic,1998-03-16
238,245,1483,classic,1998-10-08
239,246,1492,classic,1998-02-08
240,247,1500,junior,1997-10-08
241,248,1512,classic,1998-03-01
242,249,1517,classic,1998-02-06
243,250,1522,classic,1998-06-30
244,251,1525,classic,1997-10-23
245,252,1529,classic,1997-09-02
246,253,1536,gold,1998-11-14
247,254,1578,classic,1997-11-11
248,255,1579,gold,1998-10-01
249,256,1583,classic,1997-05-26
250,257,1589,classic,1998-11-20
251,258,1607,classic,1997-01-26
252,259,1610,classic,1997-09-05
253,260,1616,classic,1998-07-05
254,261,1629,gold,1995-11-09
255,262,1647,junior,1995-08-24
256,263,1668,gold,1998-04-17
257,264,1669,classic,1998-10-07
258,265,1680,classic,1996-06-28
259,266,1690,classic,1997-03-04
260,267,1691,junior,1996-03-09
261,268,1707,gold,1997-12-11
262,269,1718,gold,1998-03-22
263,270,1736,junior,1997-06-17
264,272,1754,junior,1996-10-28
265,273,1758,classic,1997-11-07
266,274,1759,classic,1998-01-21
267,275,1762,classic,1997-05-20
268,276,1765,classic,1998-03-07
269,277,1777,gold,1998-07-12
270,278,1779,classic,1996-08-15
271,279,1791,classic,1997-09-21
272,280,1793,classic,1997-06-22
273,281,1795,classic,1997-12-22
274,282,1799,gold,1997-12-13
275,283,1800,classic,1998-02-25
276,284,1807,classic,1998-05-07
277,285,1811,gold,1998-09-10
278,286,1812,gold,1996-04-21
279,287,1819,junior,1997-06-28
280,288,1826,classic,1998-10-10
281,289,1831,junior,1996-04-08
282,290,1833,classic,1998-03-24
283,291,1836,classic,1998-09-29
284,292,1842,gold,1997-01-18
285,293,1850,classic,1997-02-17
286,294,1861,classic,1996-12-04
287,295,1864,classic,1998-10-26
288,296,1876,gold,1995-11-13
289,297,1883,classic,1997-06-15
290,298,1885,classic,1997-01-17
291,299,1886,classic,1998-10-25
292,300,1890,classic,1996-11-20
293,301,1899,classic,1998-07-07
294,302,1900,classic,1996-03-31
295,303,1912,classic,1996-08-01
296,304,1913,classic,1998-01-06
297,305,1914,classic,1997-05-23
298,306,1929,classic,1998-12-11
299,307,1930,gold,1998-09-05
300,308,1938,classic,1998-07-30
301,309,1946,classic,1994-09-19
302,310,1947,junior,1998-12-23
303,311,1954,classic,1997-07-01
304,312,1971,classic,1996-06-08
305,313,1980,classic,1996-06-17
306,314,1999,junior,1995-01-27
307,315,2005,junior,1998-03-24
308,316,2013,classic,1997-06-17
309,317,2015,classic,1998-06-10
310,319,2038,junior,1998-08-02
311,320,2045,classic,1996-07-11
312,321,2058,gold,1998-08-16
313,322,2063,classic,1998-12-28
314,323,2065,junior,1998-07-24
315,324,2074,classic,1997-02-19
316,325,2102,classic,1997-01-12
317,326,2104,classic,1997-12-14
318,327,2117,classic,1997-10-03
319,328,2121,junior,1998-09-12
320,329,2122,gold,1997-11-19
321,330,2124,classic,1998-04-11
322,331,2125,gold,1998-05-01
323,332,2126,classic,1998-06-19
324,333,2128,classic,1998-11-04
325,334,2133,classic,1998-03-13
326,335,2137,classic,1998-09-25
327,336,2138,junior,1998-10-09
328,337,2141,classic,1996-01-01
329,338,2146,classic,1998-04-16
330,339,2154,classic,1998-10-19
331,340,2155,classic,1998-01-25
332,341,2156,gold,1998-12-06
333,342,2157,classic,1995-09-27
334,343,2164,classic,1997-09-21
335,344,2168,classic,1998-07-27
336,345,2175,classic,1998-11-07
337,346,2177,classic,1998-08-14
338,347,2184,classic,1997-02-11
339,348,2203,classic,1998-02-02
340,349,2214,classic,1997-05-26
341,350,2226,classic,1997-04-20
342,351,2232,classic,1998-11-01
343,352,2235,classic,1998-09-11
344,353,2259,classic,1997-06-11
345,354,2265,gold,1998-06-30
346,355,2267,classic,1997-08-28
347,356,2268,classic,1997-09-13
348,357,2277,junior,1998-09-29
349,358,2287,junior,1998-05-23
350,359,2299,classic,1997-10-29
351,360,2308,classic,1998-02-24
352,361,2312,classic,1998-09-23
353,362,2320,gold,1998-06-21
354,363,2324,junior,1996-12-11
355,364,2329,classic,1996-02-29
356,365,2332,classic,1998-06-23
357,366,2335,classic,1998-10-09
358,367,2343,classic,1998-08-27
359,368,2361,classic,1998-01-10
360,369,2363,classic,1994-11-08
361,370,2374,classic,1998-04-03
362,371,2388,gold,1998-12-13
363,372,2395,classic,1996-03-31
364,373,2401,classic,1997-11-18
365,374,2423,classic,1996-11-08
366,375,2425,junior,1997-05-17
367,376,2428,classic,1994-11-10
368,377,2429,classic,1994-03-03
369,378,2430,classic,1998-12-11
370,379,2431,classic,1996-01-12
371,380,2434,classic,1997-12-15
372,381,2440,classic,1996-10-27
373,382,2445,gold,1997-11-22
374,383,2469,classic,1997-07-30
375,384,2475,junior,1994-09-15
376,385,2476,classic,1998-10-12
377,386,2478,classic,1998-08-14
378,387,2481,classic,1997-04-18
379,388,2488,junior,1998-11-26
380,389,2489,gold,1998-09-19
381,390,2490,classic,1996-10-14
382,391,2493,classic,1998-02-24
383,392,2496,classic,1998-11-22
384,393,2498,junior,1995-12-03
385,394,2501,classic,1998-10-05
386,395,2502,classic,1998-08-24
387,396,2508,classic,1998-07-26
388,397,2513,classic,1995-06-24
389,398,2522,classic,1998-02-14
390,399,2527,classic,1997-05-22
391,400,2529,classic,1997-04-06
392,401,2532,classic,1998-01-19
393,402,2536,classic,1998-09-03
394,403,2538,junior,1997-07-12
395,404,2540,junior,1998-11-12
396,405,2542,classic,1998-08-31
397,406,2548,classic,1998-08-16
398,407,2555,classic,1996-07-11
399,408,2560,classic,1996-12-10
400,409,2562,classic,1998-11-16
401,410,2569,classic,1995-07-20
402,411,2572,classic,1998-07-15
403,412,2585,classic,1998-05-09
404,413,2592,junior,1997-07-20
405,414,2606,classic,1998-09-26
406,415,2609,classic,1998-05-25
407,416,2616,classic,1998-10-01
408,417,2619,classic,1998-03-30
409,418,2623,classic,1995-04-14
410,419,2626,classic,1998-02-28
411,421,2644,classic,1998-04-27
412,422,2650,junior,1995-07-11
413,423,2657,classic,1996-02-19
414,424,2659,classic,1998-11-06
415,425,2662,junior,1998-09-04
416,426,2686,classic,1997-05-09
417,427,2688,gold,1996-01-25
418,428,2698,classic,1997-10-13
419,429,2709,classic,1998-11-05
420,430,2713,classic,1997-05-26
421,431,2715,gold,1997-09-12
422,433,2724,classic,1996-12-12
423,434,2739,classic,1997-12-30
424,435,2740,classic,1998-07-15
425,436,2759,classic,1997-10-09
426,437,2762,classic,1994-06-01
427,438,2768,classic,1997-10-30
428,439,2779,classic,1998-07-23
429,440,2782,classic,1998-07-07
430,441,2785,classic,1996-11-05
431,442,2796,classic,1998-12-26
432,443,2808,classic,1997-06-29
433,444,2815,gold,1998-04-03
434,445,2820,gold,1998-11-19
435,446,2841,classic,1998-06-04
436,447,2845,classic,1998-10-07
437,448,2864,classic,1998-04-29
438,449,2865,classic,1998-10-28
439,450,2880,classic,1998-07-07
440,451,2888,junior,1998-04-16
441,452,2910,classic,1998-12-19
442,453,2911,gold,1998-07-12
443,454,2921,classic,1997-08-01
444,455,2924,classic,1998-11-13
445,456,2929,classic,1998-05-16
446,457,2948,junior,1998-05-16
447,458,2951,gold,1998-05-14
448,459,2958,gold,1998-02-11
449,460,2971,classic,1998-10-05
450,461,2977,gold,1998-08-21
451,462,2978,classic,1995-12-30
452,463,2982,classic,1998-02-26
453,464,2984,classic,1995-02-21
454,465,2995,classic,1998-05-15
455,466,2998,classic,1998-11-25
456,467,3019,classic,1995-06-05
457,468,3023,classic,1995-01-30
458,469,3026,classic,1998-06-07
459,470,3036,classic,1996-09-02
460,471,3037,classic,1997-06-09
461,472,3056,classic,1997-11-24
462,473,3063,classic,1998-12-22
463,474,3066,junior,1998-01-24
464,475,3075,gold,1998-05-31
465,476,3079,classic,1997-07-06
466,477,3082,junior,1995-01-16
467,478,3084,classic,1994-10-09
468,479,3085,classic,1998-12-16
469,480,3092,classic,1998-09-01
470,481,3102,junior,1998-01-06
471,482,3104,junior,1998-01-13
472,483,3115,classic,1994-11-24
473,484,3116,classic,1995-07-04
474,485,3124,classic,1998-07-08
475,486,3128,gold,1998-12-25
476,487,3130,classic,1998-11-18
477,488,3134,gold,1998-10-20
478,489,3135,classic,1998-11-29
479,490,3136,gold,1997-02-07
480,491,3151,classic,1997-08-21
481,492,3166,classic,1998-04-09
482,493,3167,classic,1997-11-30
483,494,3173,classic,1997-06-10
484,495,3181,classic,1997-09-02
485,496,3183,junior,1998-07-21
486,497,3184,classic,1995-03-03
487,498,3186,classic,1998-04-18
488,499,3187,classic,1996-04-03
489,500,3192,classic,1998-11-26
490,501,3197,classic,1995-07-09
491,502,3201,classic,1997-08-22
492,503,3225,classic,1995-03-08
