,account_id,account_frequency,account_date,n_orders,total_debit,n_trans,trans_amount,latest_balance,card_type,card_issued,gender,birth_date,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,n_clients,loan_date,loan_amount,loan_duration,loan_payments,loan_status
0,1,monthly,1995-03-24,1.0,2452.0,239,375192,13467,,,F,1970-12-13,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.8,3.35,131,1740.0,1910,1,,,,,
1,2,monthly,1993-02-26,2.0,10638.7,478,3151514,42628,,,M,1945-02-04,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,2,1994-01-05,80952.0,24.0,3373.0,A
2,3,monthly,1997-07-07,3.0,5001.0,117,295030,51096,,,M,1956-12-01,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040,2,,,,,
3,4,monthly,1996-02-21,2.0,3363.0,186,350986,33721,,,M,1919-09-22,12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.8,4.31,137,3804.0,3868,1,,,,,
4,5,monthly,1997-05-30,1.0,2668.0,84,166891,28088,,,M,1929-01-25,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.1,3.6,124,1845.0,1879,1,,,,,
5,6,monthly,1994-09-27,1.0,3954.0,246,647584,47668,,,F,1938-02-21,51,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.5,2.97,131,3496.0,3839,1,,,,,
6,7,monthly,1996-11-24,1.0,4880.0,130,1192047,68496,gold,1998-10-16,M,1935-10-16,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.4,4.48,115,1879.0,2252,1,,,,,
7,8,monthly,1995-09-21,2.0,9324.0,254,1712923,72617,,,M,1943-05-01,57,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.7,4.5,116,3729.0,3651,2,,,,,
8,9,monthly,1993-01-27,,,361,696458,23878,,,M,1981-02-20,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.4,7.07,97,6949.0,6872,1,,,,,
9,10,monthly,1996-08-28,2.0,8377.0,156,1040615,59295,,,F,1974-05-29,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,1,,,,,
10,11,monthly,1995-10-10,1.0,2132.0,186,258116,23187,,,F,1942-06-22,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807,1,,,,,
11,12,monthly,1997-04-15,2.0,3592.0,106,216758,26113,,,F,1918-08-28,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,2,,,,,
12,13,monthly,1997-08-17,1.0,2444.0,75,208219,13225,,,M,1934-10-13,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807,2,,,,,
13,14,monthly,1996-11-27,1.0,3629.0,124,785868,39314,classic,1998-03-13,M,1942-12-28,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410,1,,,,,
