,card_type_classic,latest_balance,loan_age,A14,loan_amount,loan_payments,card_type_none,card_age,district_id,n_clients,loan_duration,loan_status,account_age,total_debit,n_orders
437,1.0,56197.0,3.0,109.0,320592.0,6679.0,0.0,3.0,62.0,2.0,48.0,1.0,4.0,6678.7,1.0
256,0.0,24909.0,3.0,128.0,15192.0,633.0,1.0,0.0,24.0,1.0,24.0,1.0,5.0,7843.0,4.0
583,0.0,109126.0,4.0,100.0,151728.0,3161.0,1.0,0.0,74.0,1.0,48.0,0.0,5.0,3160.7,1.0
18,0.0,25365.0,2.0,124.0,66840.0,2785.0,1.0,0.0,15.0,2.0,24.0,1.0,3.0,16476.0,2.0
350,0.0,32064.0,5.0,116.0,61056.0,1272.0,1.0,0.0,57.0,1.0,48.0,1.0,6.0,7485.0,3.0
528,0.0,38820.0,6.0,167.0,38148.0,3179.0,1.0,0.0,1.0,1.0,12.0,1.0,6.0,17612.0,4.0
465,0.0,38831.0,1.0,141.0,160656.0,6694.0,1.0,0.0,10.0,1.0,24.0,1.0,3.0,6694.2,1.0
208,1.0,73355.0,2.0,167.0,271584.0,5658.0,0.0,1.0,1.0,1.0,48.0,1.0,3.0,5658.0,1.0
61,0.0,32271.0,2.0,100.0,128544.0,5356.0,1.0,0.0,74.0,1.0,24.0,1.0,3.0,14399.7,5.0
248,1.0,68846.0,4.0,90.0,73836.0,2051.0,0.0,1.0,39.0,1.0,36.0,1.0,4.0,7343.0,3.0
533,0.0,24729.0,2.0,131.0,272220.0,4537.0,1.0,0.0,26.0,1.0,60.0,0.0,3.0,16722.3,3.0
29,0.0,30747.0,2.0,127.0,196800.0,8200.0,1.0,0.0,8.0,1.0,24.0,0.0,3.0,8200.2,1.0
336,0.0,42775.0,4.0,141.0,98592.0,4108.0,1.0,0.0,10.0,1.0,24.0,1.0,4.0,14638.3,2.0
408,0.0,19213.0,1.0,167.0,234336.0,4882.0,1.0,0.0,1.0,1.0,48.0,1.0,3.0,17412.5,4.0
544,0.0,88540.0,2.0,154.0,164256.0,3422.0,1.0,0.0,11.0,2.0,48.0,1.0,3.0,3421.5,1.0
319,0.0,36205.0,5.0,97.0,149340.0,2489.0,1.0,0.0,44.0,1.0,60.0,1.0,6.0,11243.3,2.0
422,0.0,16716.0,3.0,123.0,30276.0,2523.0,1.0,0.0,21.0,1.0,12.0,0.0,4.0,2523.2,1.0
482,0.0,70830.0,5.0,167.0,80340.0,6695.0,0.0,4.0,1.0,2.0,12.0,1.0,6.0,6695.0,1.0
357,0.0,18037.0,1.0,120.0,407952.0,8499.0,1.0,0.0,19.0,1.0,48.0,0.0,3.0,8499.0,1.0
332,1.0,69552.0,2.0,120.0,177504.0,3698.0,0.0,1.0,19.0,1.0,48.0,1.0,3.0,3697.8,1.0
235,0.0,22074.0,2.0,109.0,405780.0,6763.0,1.0,0.0,62.0,1.0,60.0,1.0,4.0,12006.0,4.0
218,0.0,20411.0,2.0,99.0,307200.0,5120.0,1.0,0.0,53.0,1.0,60.0,0.0,3.0,5120.2,1.0
668,0.0,53703.0,5.0,99.0,182628.0,5073.0,1.0,0.0,75.0,1.0,36.0,1.0,6.0,8337.0,2.0
468,1.0,77283.0,1.0,111.0,35856.0,1494.0,0.0,1.0,47.0,1.0,24.0,1.0,3.0,6709.0,2.0
405,0.0,38874.0,1.0,124.0,495180.0,8253.0,0.0,1.0,69.0,1.0,60.0,1.0,2.0,8253.2,1.0
490,0.0,29762.0,3.0,167.0,247728.0,5161.0,0.0,3.0,1.0,1.0,48.0,1.0,4.0,11804.2,3.0
542,0.0,47408.0,1.0,124.0,122472.0,5103.0,1.0,0.0,69.0,1.0,24.0,1.0,3.0,18564.0,2.0
638,0.0,82020.0,2.0,131.0,24180.0,403.0,1.0,0.0,36.0,1.0,60.0,1.0,3.0,4058.0,5.0
