,Total day charge,Total intl calls,Area code_415,Area code_510,Total eve minutes,Total day minutes,Total day calls,Voice mail plan,Area code_408,Customer service calls,International plan,Churn,Number vmail messages,Total intl minutes,Total intl charge,Total eve charge
0,45.07,3.0,1.0,0.0,197.4,265.1,110.0,1.0,0.0,1.0,0.0,0.0,25.0,10.0,2.7,16.78
1,27.47,3.0,1.0,0.0,195.5,161.6,123.0,1.0,0.0,1.0,0.0,0.0,26.0,13.7,3.7,16.62
2,41.38,5.0,1.0,0.0,121.2,243.4,114.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,3.29,10.3
3,50.9,7.0,0.0,0.0,61.9,299.4,71.0,0.0,1.0,2.0,1.0,0.0,0.0,6.6,1.78,5.26
4,28.34,3.0,1.0,0.0,148.3,166.7,113.0,0.0,0.0,3.0,1.0,0.0,0.0,10.1,2.73,12.61
5,37.98,6.0,0.0,1.0,220.6,223.4,98.0,0.0,0.0,0.0,1.0,0.0,0.0,6.3,1.7,18.75
6,37.09,7.0,0.0,1.0,348.5,218.2,88.0,1.0,0.0,3.0,0.0,0.0,24.0,7.5,2.03,29.62
7,26.69,6.0,1.0,0.0,103.1,157.0,79.0,0.0,0.0,0.0,1.0,0.0,0.0,7.1,1.92,8.76
8,43.96,5.0,1.0,0.0,222.0,258.6,84.0,1.0,0.0,0.0,1.0,0.0,37.0,11.2,3.02,18.87
9,31.91,5.0,1.0,0.0,163.4,187.7,127.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.46,13.89
10,21.9,2.0,0.0,0.0,104.9,128.8,96.0,0.0,1.0,1.0,0.0,0.0,0.0,11.2,3.02,8.92
11,26.62,5.0,0.0,1.0,247.6,156.6,88.0,0.0,0.0,3.0,0.0,0.0,0.0,12.3,3.32,21.05
12,20.52,6.0,1.0,0.0,307.2,120.7,70.0,0.0,0.0,4.0,0.0,0.0,0.0,13.1,3.54,26.11
13,33.39,4.0,0.0,0.0,280.9,196.4,139.0,1.0,1.0,1.0,0.0,0.0,27.0,13.8,3.73,23.88
14,32.42,3.0,0.0,1.0,218.2,190.7,114.0,0.0,0.0,3.0,0.0,0.0,0.0,8.1,2.19,18.55
15,32.25,5.0,0.0,1.0,212.8,189.7,66.0,1.0,0.0,1.0,0.0,0.0,33.0,10.0,2.7,18.09
16,38.15,2.0,1.0,0.0,159.5,224.4,90.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,3.51,13.56
17,26.37,4.0,1.0,0.0,239.7,155.1,117.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,2.86,20.37
18,10.61,6.0,0.0,0.0,169.9,62.4,89.0,0.0,1.0,5.0,0.0,1.0,0.0,5.7,1.54,14.44
19,31.11,19.0,1.0,0.0,72.9,183.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,2.57,6.2
20,13.79,2.0,0.0,1.0,245.2,81.1,86.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,2.78,20.84
21,21.13,5.0,1.0,0.0,277.1,124.3,76.0,0.0,0.0,3.0,0.0,0.0,0.0,15.5,4.19,23.55
22,36.21,3.0,0.0,0.0,191.1,213.0,115.0,1.0,1.0,0.0,0.0,0.0,39.0,9.5,2.57,16.24
23,22.83,4.0,0.0,0.0,155.5,134.3,73.0,0.0,1.0,3.0,0.0,0.0,0.0,14.7,3.97,13.22
24,32.3,6.0,1.0,0.0,258.2,190.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1.7,21.95
25,14.42,6.0,1.0,0.0,136.7,84.8,95.0,0.0,0.0,2.0,0.0,0.0,0.0,14.2,3.83,11.62
26,38.44,5.0,0.0,1.0,201.5,226.1,105.0,0.0,0.0,1.0,0.0,0.0,0.0,10.3,2.78,17.13
27,36.04,10.0,0.0,0.0,31.2,212.0,121.0,0.0,1.0,3.0,0.0,0.0,0.0,12.6,3.4,2.65
28,42.43,3.0,0.0,0.0,252.4,249.6,118.0,0.0,1.0,1.0,0.0,1.0,0.0,11.8,3.19,21.45
29,30.06,4.0,0.0,0.0,195.0,176.8,94.0,1.0,1.0,0.0,0.0,0.0,25.0,8.3,2.24,16.58
30,37.4,6.0,1.0,0.0,217.3,220.0,80.0,1.0,0.0,3.0,0.0,0.0,37.0,14.7,3.97,18.47
31,22.24,5.0,1.0,0.0,223.7,130.8,64.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.7,19.01
32,34.66,6.0,1.0,0.0,187.6,203.9,106.0,1.0,0.0,3.0,1.0,0.0,33.0,10.5,2.84,15.95
33,23.87,9.0,0.0,0.0,271.8,140.4,94.0,0.0,1.0,1.0,0.0,0.0,0.0,11.1,3.0,23.1
34,21.47,2.0,0.0,0.0,166.8,126.3,102.0,0.0,1.0,3.0,0.0,0.0,0.0,9.4,2.54,14.18
35,29.43,15.0,0.0,0.0,203.9,173.1,85.0,1.0,1.0,0.0,1.0,1.0,41.0,14.6,3.94,17.33
36,21.22,4.0,0.0,1.0,282.2,124.8,82.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,2.7,23.99
37,14.59,4.0,1.0,0.0,165.3,85.8,77.0,0.0,0.0,3.0,0.0,0.0,0.0,9.2,2.48,14.05
38,26.18,3.0,0.0,1.0,225.8,154.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,0.95,19.19
